raw_id,raw_name,source_key,source_section,normalized_name,canonical_key,canonical_final_name,concept_summary,status,status_reason
1,Meta Language Creation,white2023,Input Semantics,meta language creation,meta_language_creation,,Define custom shorthand notation/semantics for the LLM to use in the rest of the conversation.,EXCLUDED_OUT_OF_SCOPE,Writable single-prompt pattern but not selected in final curated 29; Input-Semantics category not represented in final sheet.
2,Output Automater,white2023,Output Customization,output automater,output_automater,OutputAutomater,Have the LLM generate a script/artifact that automates any steps it recommends in its output.,INCLUDED,Exact name+concept source pattern (White).
3,Persona,white2023,Output Customization,persona,persona,Role / Persona Prompting,"Give the LLM a persona/role to adopt, shaping the style and focus of its output.",INCLUDED,Exact concept source pattern (White); name extended to 'Role / Persona Prompting' in final sheet via Pass-3 merge with Schulhoff's 'Role Prompting'.
4,Visualization Generator,white2023,Output Customization,visualization generator,visualization_generator,VisualizationGenerator,"Generate textual input (e.g. Graphviz DOT, DALL-E prompt) for another tool to render a visualization.",INCLUDED,Exact concept source pattern (White); American spelling used in final sheet.
5,Recipe,white2023,Output Customization,recipe,recipe,Recipe,"Given a goal and partial known steps, have the LLM produce the complete ordered sequence, filling/flagging steps.",INCLUDED,Exact name+concept source pattern (White).
6,Template,white2023,Output Customization,template,template,Template,Provide a literal template with placeholders; LLM inserts generated content and preserves structure.,INCLUDED,Exact name+concept source pattern (White).
7,Fact Check List,white2023,Error Identification,fact check list,fact_check_list,FactCheckList,"LLM generates a list of facts the output depends on, placed at a specific point, for user verification.",INCLUDED,Exact concept source pattern (White).
8,Reflection,white2023,Error Identification,reflection,reflection,Reflection,LLM automatically explains the reasoning/assumptions behind its own answer after producing it.,INCLUDED,Exact name+concept source pattern (White).
9,Question Refinement,white2023,Prompt Improvement,question refinement,question_refinement,Question Refinement,LLM always suggests a better/more refined version of the user's question within a given scope.,INCLUDED,Exact name+concept source pattern (White).
10,Alternative Approaches,white2023,Prompt Improvement,alternative approaches,alternative_approaches,Alternative Approaches,"LLM always lists alternative ways to accomplish the same task, optionally with pros/cons.",INCLUDED,Exact name+concept source pattern (White).
11,Cognitive Verifier,white2023,Prompt Improvement,cognitive verifier,cognitive_verifier,CognitiveVerifier,"LLM subdivides a question into clarifying sub-questions, then combines answers into the final answer.",INCLUDED,Exact concept source pattern (White).
12,Refusal Breaker,white2023,Prompt Improvement,refusal breaker,refusal_breaker,RefusalBreaker,"Whenever the LLM refuses to answer, it explains why and offers alternative phrasings it could answer.",INCLUDED,Exact concept source pattern (White).
13,Flipped Interaction,white2023,Interaction,flipped interaction,flipped_interaction,FlippedInteraction,LLM drives the conversation by asking the user questions until a goal/condition is reached.,INCLUDED,Exact concept source pattern (White); independently confirmed by Fagbohun 2024.
14,Game Play,white2023,Interaction,game play,game_play,GamePlay,"Frame the task as a game around a topic, with defined rules; LLM generates game content/scenarios.",INCLUDED,Exact concept source pattern (White).
15,Infinite Generation,white2023,Interaction,infinite generation,infinite_generation,InfiniteGeneration,LLM generates a continuous/repeated stream of outputs without the user re-entering the prompt each time.,INCLUDED,Exact concept source pattern (White).
16,Context Manager,white2023,Context Control,context manager,context_manager,ContextManager,"User explicitly specifies what context to include/exclude, optionally resetting context entirely.",INCLUDED,Exact concept source pattern (White).
17,Zero-Shot Prompting,schulhoff2024,2.2.1 ICL,zero shot prompting,zero_shot,Zero-Shot Prompting,"Task performed with no exemplars, via direct instruction.",INCLUDED,Exact name+concept source pattern.
18,Few-Shot Prompting,schulhoff2024,2.2.1 ICL,few shot prompting,few_shot,Few-Shot Prompting,Task demonstrated via a small number of input/output exemplars in the prompt.,INCLUDED,Exact name+concept source pattern.
19,Role Prompting,schulhoff2024,2.2.1.3 ICL,role prompting,persona,Role / Persona Prompting,Assign GenAI a specific role/persona; explicitly noted by authors as a.k.a. Persona Prompting.,INCLUDED,Pass-3 synonym merge into Persona (paper itself equates the two terms).
20,Style Prompting,schulhoff2024,2.2.1.3 ICL,style prompting,style_prompting,,"Specify desired style, tone, or genre directly in the prompt.",EXCLUDED_OUT_OF_SCOPE,Not selected in final curated 29.
21,Emotion Prompting,schulhoff2024,2.2.1.3 ICL,emotion prompting,emotion_prompting,,Incorporate psychologically-relevant phrases (e.g. 'this is important to my career') into the prompt.,EXCLUDED_OUT_OF_SCOPE,Not selected in final curated 29 (duplicate also in Sahoo).
22,System 2 Attention (S2A),schulhoff2024,2.2.1.3 ICL,system 2 attention s2a,s2a,,"Two-step: LLM rewrites prompt to remove irrelevant info, then answers using the cleaned prompt.",EXCLUDED_WORKFLOW,"Two-call pipeline (regenerate context, then answer)."
23,SimToM,schulhoff2024,2.2.1.3 ICL,simtom,simtom,,"Two-prompt process: establish what one entity knows, then answer based only on those facts.",EXCLUDED_WORKFLOW,Two-call pipeline.
24,Rephrase and Respond (RaR),schulhoff2024,2.2.1.3 ICL,rephrase and respond rar,rar,RAR,"LLM rephrases/expands the question before answering, single or two-step.",INCLUDED,"Exact concept source pattern; also in Sahoo, Vatsal&Dubey."
25,Re-reading (RE2),schulhoff2024,2.2.1.3 ICL,re reading re2,re2,RE2,Adds 'Read the question again:' + repeats the question text to improve reasoning.,INCLUDED,Exact name+concept source pattern.
26,Self-Ask,schulhoff2024,2.2.1.3 ICL,self ask,self_ask,,"LLM decides if follow-up questions are needed, generates/answers them, then answers original question.",EXCLUDED_WORKFLOW,Multi-step pipeline (decide -> generate sub-Qs -> answer sub-Qs -> answer original).
27,Self-Generated ICL (SG-ICL),schulhoff2024,2.2.1.2 ICL,self generated icl sg icl,sg_icl,,LLM generates its own exemplars rather than a human supplying them.,EXCLUDED_WORKFLOW,Generation pipeline.
28,Exemplar Ordering,schulhoff2024,2.2.1.1 ICL,exemplar ordering,exemplar_ordering,,Design decision: sequence of few-shot exemplars affects output.,EXCLUDED_OUT_OF_SCOPE,"Design heuristic, not a discrete prompt pattern."
29,Exemplar Selection - KNN,schulhoff2024,2.2.1.2 ICL,exemplar selection knn,knn_selection,,Algorithmic selection of exemplars most similar to the test input.,EXCLUDED_WORKFLOW,"Algorithmic/offline technique, not a writable prompt."
30,Exemplar Selection - Vote-K,schulhoff2024,2.2.1.2 ICL,exemplar selection vote k,votek_selection,,"Two-stage algorithm to select diverse, representative exemplars.",EXCLUDED_WORKFLOW,Algorithmic/offline technique.
31,Instruction Selection,schulhoff2024,2.2.1.1 ICL,instruction selection,instruction_selection,InstructionSelection,Choosing/optimizing the instruction text used in a prompt.,INCLUDED,Exact name source pattern (concept simplified in final sheet to direct candidate-selection framing).
32,Prompt Mining,schulhoff2024,2.2.1.2 ICL,prompt mining,prompt_mining,,Corpus-analysis technique to discover optimal template middle-words.,EXCLUDED_WORKFLOW,"Offline corpus-mining method, not a writable prompt."
33,Chain-of-Thought (CoT) Prompting,schulhoff2024,2.2.2 Thought Gen,chain of thought cot prompting,cot,Chain-of-Thought (CoT),Few-shot or zero-shot prompt eliciting explicit step-by-step reasoning before the final answer.,INCLUDED,"Exact name+concept source pattern; also in Sahoo, Vatsal&Dubey, Fagbohun."
34,Zero-Shot CoT,schulhoff2024,2.2.2.1 Thought Gen,zero shot cot,cot,Chain-of-Thought (CoT),CoT variant with zero exemplars; appends a thought-inducing phrase like 'Let's think step by step.',INCLUDED,Pass-3 merge into CoT -- this IS the canonical example phrasing used for the final CoT pattern's prompt.
35,Step-Back Prompting,schulhoff2024,2.2.2.1 Thought Gen,step back prompting,step_back,,LLM first asked a generic high-level question about relevant concepts before detailed reasoning.,EXCLUDED_WORKFLOW,"Two-step pipeline (abstract question, then reasoning); duplicate concept in Sahoo/Vatsal&Dubey ('Take a Step Back')."
36,Analogical Prompting,schulhoff2024,2.2.2.1 Thought Gen,analogical prompting,analogical_prompting,,LLM automatically generates its own relevant exemplars (incl. CoTs) before solving.,EXCLUDED_WORKFLOW,Self-generation pipeline; duplicate concept in Vatsal&Dubey ('Analogical Reasoning').
37,Thread-of-Thought (ThoT),schulhoff2024,2.2.2.1 Thought Gen,thread of thought thot,thot,,Alternate thought-inducer phrase tailored to long/complex contexts; two-phase summarize-then-answer.,EXCLUDED_WORKFLOW,Two-phase pipeline; duplicate concept in Sahoo/Vatsal&Dubey.
38,Tabular CoT (Tab-CoT),schulhoff2024,2.2.2.1 Thought Gen,tabular cot tab cot,tab_cot,,Zero-Shot CoT variant outputting reasoning as a markdown table.,EXCLUDED_OUT_OF_SCOPE,Minor output-formatting variant of CoT; not selected separately.
39,Few-Shot CoT,schulhoff2024,2.2.2.2 Thought Gen,few shot cot,cot,Chain-of-Thought (CoT),Exemplars in the prompt include full chains-of-thought (not just answers).,INCLUDED,Pass-3 merge into CoT -- exemplar-based variant of the same canonical pattern.
40,Active-Prompting,schulhoff2024,2.2.2.2 Thought Gen,active prompting,active_prompting,,Uncertainty/disagreement across LLM-solved training Qs used to select exemplars for human re-annotation.,EXCLUDED_WORKFLOW,Training-time/offline pipeline; duplicate concept in Sahoo/Vatsal&Dubey.
41,Auto-CoT,schulhoff2024,2.2.2.2 Thought Gen,auto cot,auto_cot,,"Automatically generates CoT exemplars via zero-shot CoT, then builds a few-shot CoT prompt.",EXCLUDED_WORKFLOW,Automated exemplar-generation pipeline; duplicate concept in Sahoo/Vatsal&Dubey.
42,Complexity-Based Prompting,schulhoff2024,2.2.2.2 Thought Gen,complexity based prompting,complex_cot,Complex CoT,"Selects complex exemplars + samples multiple reasoning chains, majority-vote weighted by chain length.",INCLUDED,Pass-3 concept merge into Complex CoT (same idea as Vatsal&Dubey/Sahoo's 'Complex CoT'); simplified to single-prompt framing in final sheet.
43,Contrastive CoT Prompting,schulhoff2024,2.2.2.2 Thought Gen,contrastive cot prompting,contrastive_cot,,Exemplars include both correct AND incorrect explanations to show the model how not to reason.,EXCLUDED_OUT_OF_SCOPE,Not selected in final curated 29 (duplicate concept also in Vatsal&Dubey).
44,Memory-of-Thought Prompting,schulhoff2024,2.2.2.2 Thought Gen,memory of thought prompting,memory_of_thought,,Retrieves similar reasoned instances from unlabeled training data at test time to build a CoT prompt.,EXCLUDED_WORKFLOW,Retrieval pipeline.
45,Uncertainty-Routed CoT,schulhoff2024,2.2.2.2 Thought Gen,uncertainty routed cot,uncertainty_routed_cot,,"Samples multiple CoT paths, picks majority if above confidence threshold, else falls back to greedy.",EXCLUDED_WORKFLOW,Ensembling/sampling pipeline.
46,Decomposed Prompting (DECOMP),schulhoff2024,2.2.3 Decomposition,decomposed prompting decomp,decomp,,"Few-shot prompts the LLM to use specific sub-functions, often separate LLM/tool calls.",EXCLUDED_WORKFLOW,Agentic sub-function delegation pipeline; duplicate concept in Vatsal&Dubey.
47,Faithful Chain-of-Thought,schulhoff2024,2.2.3 Decomposition,faithful chain of thought,faithful_cot,,CoT combining natural language and symbolic/code reasoning.,EXCLUDED_WORKFLOW,Dual reasoning-track pipeline.
48,Least-to-Most Prompting,schulhoff2024,2.2.3 Decomposition,least to most prompting,least_to_most,Least-to-Most,"LLM decomposes problem into sub-problems (unsolved), then solves them sequentially.",INCLUDED,Exact name+concept source pattern; also in Vatsal&Dubey.
49,Plan-and-Solve Prompting,schulhoff2024,2.2.3 Decomposition,plan and solve prompting,plan_and_solve,Plan-and-Solve (PS / PS+),Zero-Shot CoT variant: 'Let's first understand the problem and devise a plan... then carry it out.',INCLUDED,Exact name+concept source pattern; also in Vatsal&Dubey (source of PS/PS+ naming).
50,Program-of-Thoughts,schulhoff2024,2.2.3 Decomposition,program of thoughts,program_of_thoughts,,LLM generates code as reasoning steps; external interpreter executes it.,EXCLUDED_WORKFLOW,Tool-use pipeline; duplicate concept in Sahoo/Vatsal&Dubey.
51,Recursion-of-Thought,schulhoff2024,2.2.3 Decomposition,recursion of thought,recursion_of_thought,,Recursively spins off sub-problems into separate LLM calls when reasoning hits complexity.,EXCLUDED_WORKFLOW,Recursive multi-call pipeline.
52,Skeleton-of-Thought,schulhoff2024,2.2.3 Decomposition,skeleton of thought,skeleton_of_thought,,"Generates a skeleton of sub-questions, solves them in parallel via separate calls, concatenates.",EXCLUDED_WORKFLOW,Parallel multi-call pipeline; loosely echoed by Fagbohun's single-prompt 'Skeleton-of-Thought' framing (still excluded for consistency with canonical origin).
53,Tree-of-Thought (ToT),schulhoff2024,2.2.3 Decomposition,tree of thought tot,tot,,"Generates/evaluates a tree of multiple possible reasoning steps, with search/branching/backtracking.",EXCLUDED_WORKFLOW,Multi-call search pipeline; duplicate concept in Sahoo/Vatsal&Dubey/Fagbohun.
54,Metacognitive Prompting,schulhoff2024,2.2.3 Decomposition,metacognitive prompting,metacognitive_prompting,,"5-step prompt chain mimicking human metacognition (clarify, judge, evaluate, confirm, assess confidence).",EXCLUDED_WORKFLOW,Multi-step chain; duplicate concept in Vatsal&Dubey ('MP').
55,Demonstration Ensembling (DENSE),schulhoff2024,2.2.4 Ensembling,demonstration ensembling dense,dense,,Multiple few-shot prompts with different exemplar subsets; aggregate outputs.,EXCLUDED_WORKFLOW,Multi-call ensembling pipeline.
56,Mixture of Reasoning Experts (MoRE),schulhoff2024,2.2.4 Ensembling,mixture of reasoning experts more,more,,Multiple specialized prompts (different reasoning types); best answer selected by agreement score.,EXCLUDED_WORKFLOW,Multi-call ensembling pipeline.
57,Max Mutual Information Method,schulhoff2024,2.2.4 Ensembling,max mutual information method,max_mutual_info,,Multiple prompt template variants scored by mutual information; optimal one selected.,EXCLUDED_WORKFLOW,Multi-call selection pipeline.
58,Self-Consistency,schulhoff2024,2.2.4 Ensembling,self consistency,self_consistency,,"Sample multiple diverse reasoning chains (temp>0), majority-vote the final answer.",EXCLUDED_WORKFLOW,Multi-call ensembling pipeline; duplicate concept in Sahoo/Vatsal&Dubey.
59,Universal Self-Consistency,schulhoff2024,2.2.4 Ensembling,universal self consistency,universal_self_consistency,,"Like Self-Consistency, but majority vote performed by inserting all outputs into another LLM prompt.",EXCLUDED_WORKFLOW,Multi-call ensembling pipeline.
60,Meta-Reasoning over Multiple CoTs,schulhoff2024,2.2.4 Ensembling,meta reasoning over multiple cots,meta_cot,,"Generates multiple reasoning chains, feeds all into one prompt to produce a final answer.",EXCLUDED_WORKFLOW,Multi-call pipeline.
61,DiVeRSe,schulhoff2024,2.2.4 Ensembling,diverse,diverse,,Multiple prompts each with Self-Consistency; scores reasoning paths step-by-step.,EXCLUDED_WORKFLOW,Multi-call ensembling pipeline.
62,Consistency-based Self-adaptive Prompting (COSP),schulhoff2024,2.2.4 Ensembling,consistency based self adaptive prompting cosp,cosp,,Builds few-shot CoT prompt from high-agreement Zero-Shot CoT + Self-Consistency outputs.,EXCLUDED_WORKFLOW,Multi-call ensembling pipeline.
63,Universal Self-Adaptive Prompting (USP),schulhoff2024,2.2.4 Ensembling,universal self adaptive prompting usp,usp,,Generalization of COSP using unlabeled data and a complex scoring function.,EXCLUDED_WORKFLOW,Multi-call ensembling pipeline.
64,Prompt Paraphrasing,schulhoff2024,2.2.4 Ensembling,prompt paraphrasing,prompt_paraphrasing,,Generates reworded variants of a prompt (same meaning) for use in an ensemble.,EXCLUDED_WORKFLOW,"Data-augmentation technique for ensembling, not a single writable prompt."
65,Self-Calibration,schulhoff2024,2.2.5 Self-Criticism,self calibration,self_calibration,SelfCalibration,"LLM answers, then a second prompt asks whether the answer is correct, for confidence estimation.",INCLUDED,Pass-3 concept merge -- simplified to single-prompt confidence/consistency framing in final sheet.
66,Self-Refine,schulhoff2024,2.2.5 Self-Criticism,self refine,self_refine,,Iterative critique-then-revise loop until a stopping condition is met.,EXCLUDED_WORKFLOW,Iterative multi-step pipeline; duplicate concept in Sahoo/Vatsal&Dubey.
67,Reversing Chain-of-Thought (RCoT),schulhoff2024,2.2.5 Self-Criticism,reversing chain of thought rcot,reverse_cot,Reverse CoT,"Reconstructs the problem from the generated answer, compares to original to find inconsistencies.",INCLUDED,"Pass-3 concept merge -- simplified in final sheet to 'answer first, then justify' single-prompt framing."
68,Self-Verification,schulhoff2024,2.2.5 Self-Criticism,self verification,self_verification,SelfVerification,"Generates multiple candidate CoT solutions, scores each by masking parts of the question and predicting them.",INCLUDED,Pass-3 concept merge -- simplified to single-prompt generate+verify framing in final sheet.
69,Chain-of-Verification (CoVe),schulhoff2024,2.2.5 Self-Criticism,chain of verification cove,cove,,"Generate answer, generate verification questions, answer them, produce revised final answer.",EXCLUDED_WORKFLOW,Four-step pipeline; duplicate concept in Sahoo/Vatsal&Dubey.
70,Cumulative Reasoning,schulhoff2024,2.2.5 Self-Criticism,cumulative reasoning,cumulative_reasoning,,"Generates candidate steps, LLM evaluates/accepts/rejects them, checks for completion, repeats.",EXCLUDED_WORKFLOW,Iterative multi-step pipeline.
71,Output Formatting / Answer Shape & Space (vocabulary terms),schulhoff2024,1.2.1 Terminology / 2.5 Answer Engineering,output formatting answer shape & space vocabulary terms,schema_specs,SchemaSpecs,"Prompt component / answer-engineering concept: instructing the LLM to output information in a defined structure/format (CSV, XML, JSON, fixed schema) and constraining the answer shape/space accordingly.",INCLUDED,EDITORIAL SYNTHESIS: not a single named 'pattern' in any source paper's technique catalog; 'SchemaSpecs' in the final sheet was derived by combining this Schulhoff vocabulary concept with White's Template pattern's implicit schema-following behaviour. Flagged transparently as the one final pattern without a direct 1:1 named source.
72,Zero-Shot Prompting,sahoo2024,2.1,zero shot prompting,zero_shot,Zero-Shot Prompting,"Task description only, no examples, relies on pretrained knowledge.",INCLUDED,Pass-2 exact-name multi-paper duplicate.
73,Few-Shot Prompting,sahoo2024,2.1,few shot prompting,few_shot,Few-Shot Prompting,A few input-output exemplars included to induce task understanding.,INCLUDED,Pass-2 exact-name multi-paper duplicate.
74,Chain-of-Thought (CoT) Prompting,sahoo2024,2.2,chain of thought cot prompting,cot,Chain-of-Thought (CoT),Elicits step-by-step intermediate reasoning before the final answer.,INCLUDED,Pass-2 exact-name multi-paper duplicate.
75,Automatic CoT (Auto-CoT),sahoo2024,2.2,automatic cot auto cot,auto_cot,,Automatically generates diverse CoT exemplars.,EXCLUDED_WORKFLOW,Pipeline; duplicate concept.
76,Self-Consistency,sahoo2024,2.2,self consistency,self_consistency,,"Samples multiple reasoning chains, majority-votes final answer.",EXCLUDED_WORKFLOW,Ensembling pipeline; duplicate.
77,Logical CoT (LogiCoT) Prompting,sahoo2024,2.2,logical cot logicot prompting,logicot,,Neurosymbolic think-verify-revise loop using reductio ad absurdum.,EXCLUDED_WORKFLOW,Multi-step verification pipeline.
78,Chain-of-Symbol (CoS) Prompting,sahoo2024,2.2,chain of symbol cos prompting,cos,,Uses condensed symbols instead of natural language for spatial reasoning.,EXCLUDED_OUT_OF_SCOPE,Narrow notation variant; not selected.
79,Tree-of-Thoughts (ToT) Prompting,sahoo2024,2.2,tree of thoughts tot prompting,tot,,Tree of intermediate thoughts combined with BFS/DFS search.,EXCLUDED_WORKFLOW,Multi-call search pipeline; duplicate.
80,Graph-of-Thoughts (GoT) Prompting,sahoo2024,2.2,graph of thoughts got prompting,got,,Models reasoning as a directed graph allowing backtracking/aggregation.,EXCLUDED_WORKFLOW,Multi-call pipeline; duplicate (Fagbohun).
81,System 2 Attention (S2A) Prompting,sahoo2024,2.2,system 2 attention s2a prompting,s2a,,"Two-step: regenerate clean context, then answer.",EXCLUDED_WORKFLOW,Two-call pipeline; duplicate.
82,Thread of Thought (ThoT) Prompting,sahoo2024,2.2,thread of thought thot prompting,thot,,"Segments long/chaotic context, summarizes/analyzes incrementally.",EXCLUDED_WORKFLOW,Two-phase pipeline; duplicate.
83,Chain-of-Table Prompting,sahoo2024,2.2,chain of table prompting,chain_of_table,,Step-by-step tabular reasoning via dynamically generated/executed SQL/DataFrame ops.,EXCLUDED_WORKFLOW,Tool-use pipeline; duplicate (Vatsal&Dubey).
84,Self-Refine Prompting,sahoo2024,2.2,self refine prompting,self_refine,,Iterative 3-step generate-critique-revise loop.,EXCLUDED_WORKFLOW,Iterative pipeline; duplicate.
85,Code Prompting,sahoo2024,2.2,code prompting,code_prompting,,Reformulates an NL reasoning task as structured code.,EXCLUDED_OUT_OF_SCOPE,Task-specific reformulation; not selected.
